iter	MultiClass
0	1.943982852
1	1.942629952
2	1.940854588
3	1.937466612
4	1.936833396
5	1.933522605
6	1.932637088
7	1.931986888
8	1.93075483
9	1.928974544
10	1.92597949
11	1.923611896
12	1.918943897
13	1.916554091
14	1.914883562
15	1.913716011
16	1.910254435
17	1.907076235
18	1.900898653
19	1.897968242
20	1.894991441
21	1.893947908
22	1.891528076
23	1.8888199
24	1.885044454
25	1.884195346
26	1.881675753
27	1.877407636
28	1.875813788
29	1.87409208
30	1.874083988
31	1.870654227
32	1.868044842
33	1.865982416
34	1.863811489
35	1.860991408
36	1.85912218
37	1.857366787
38	1.854982143
39	1.853918901
40	1.852699413
41	1.849394484
42	1.848272728
43	1.844559598
44	1.840491175
45	1.835445277
46	1.833755034
47	1.828559176
48	1.824907811
49	1.820150072
50	1.814539166
51	1.811852929
52	1.810433593
53	1.805394381
54	1.804983719
55	1.803945393
56	1.803229795
57	1.800704631
58	1.794722324
59	1.793253567
60	1.79141805
61	1.789471156
62	1.785972831
63	1.782028004
64	1.781063879
65	1.780393288
66	1.77746722
67	1.77746601
68	1.775285829
69	1.770630367
70	1.768234045
71	1.765295089
72	1.762289568
73	1.759188484
74	1.753697781
75	1.749782719
76	1.747960907
77	1.745654037
78	1.744297829
79	1.742042894
80	1.737611977
81	1.733613157
82	1.728305043
83	1.725594333
84	1.72257388
85	1.719458994
86	1.716505839
87	1.713502804
88	1.710297012
89	1.705640183
90	1.702753213
91	1.697039032
92	1.695843489
93	1.690625876
94	1.687622492
95	1.683503436
96	1.679592732
97	1.677693577
98	1.672752105
99	1.671552788
100	1.66760659
101	1.664205379
102	1.66129092
103	1.65781211
104	1.654969015
105	1.65178861
106	1.649208365
107	1.645532111
108	1.642023206
109	1.636049594
110	1.631277651
111	1.626464005
112	1.624336865
113	1.620064069
114	1.616964495
115	1.61243671
116	1.607418227
117	1.603108027
118	1.599029377
119	1.594607806
120	1.590000077
121	1.584663159
122	1.581371262
123	1.57572718
124	1.572567828
125	1.567990135
126	1.566769157
127	1.562993733
128	1.560058106
129	1.554497798
130	1.549622396
131	1.546615109
132	1.542916524
133	1.539785513
134	1.536516819
135	1.533304596
136	1.528137833
137	1.521698584
138	1.517855469
139	1.515501916
140	1.512844898
141	1.510080581
142	1.507623136
143	1.503103088
144	1.500219558
145	1.49587159
146	1.491928588
147	1.489032043
148	1.487811692
149	1.485566189
150	1.481983901
151	1.477983084
152	1.475314972
153	1.472318131
154	1.468615879
155	1.464349299
156	1.462158923
157	1.457956549
158	1.453016728
159	1.45092406
160	1.447862268
161	1.442870847
162	1.440090836
163	1.438255274
164	1.436055253
165	1.434138442
166	1.429524857
167	1.423784198
168	1.420763802
169	1.417148009
170	1.413485502
171	1.409964216
172	1.406474422
173	1.402500152
174	1.39855481
175	1.396168378
176	1.393069253
177	1.390442468
178	1.388923995
179	1.383985412
180	1.382225842
181	1.379485893
182	1.37729007
183	1.374630725
184	1.371401087
185	1.367516639
186	1.365496576
187	1.36205126
188	1.359469176
189	1.356673736
190	1.352805884
191	1.348864304
192	1.345999583
193	1.342114541
194	1.337872526
195	1.336159231
196	1.334279129
197	1.331508355
198	1.330002463
199	1.32559582
200	1.322999865
201	1.321326533
202	1.318731487
203	1.316203326
204	1.315019482
205	1.31066262
206	1.306911285
207	1.305654156
208	1.302101872
209	1.299139206
210	1.295854063
211	1.294039181
212	1.291582211
213	1.289244138
214	1.286081627
215	1.283631789
216	1.281351516
217	1.279857893
218	1.278366512
219	1.275865989
220	1.272281982
221	1.270076556
222	1.266144445
223	1.263550784
224	1.262166569
225	1.259156679
226	1.255626944
227	1.253873728
228	1.250732252
229	1.248829805
230	1.24612203
231	1.243565866
232	1.241139194
233	1.240170534
234	1.236228052
235	1.234915029
236	1.23319884
237	1.228957233
238	1.227322262
239	1.224583482
240	1.222580133
241	1.217589013
242	1.215847561
243	1.213195687
244	1.210253854
245	1.209241148
246	1.205351236
247	1.201802147
248	1.199633616
249	1.196517282
250	1.192210833
251	1.190679603
252	1.188311382
253	1.186405043
254	1.183700435
255	1.181737652
256	1.178963433
257	1.175609533
258	1.173325442
259	1.171301219
260	1.168267703
261	1.165962048
262	1.162122131
263	1.158312391
264	1.157083446
265	1.15494079
266	1.152362701
267	1.148847814
268	1.146302291
269	1.14350072
270	1.141318501
271	1.137742775
272	1.134495674
273	1.13209511
274	1.129195222
275	1.126517874
276	1.124884504
277	1.120997501
278	1.118506767
279	1.115209125
280	1.113617832
281	1.112603213
282	1.109835849
283	1.106538632
284	1.104601392
285	1.103219165
286	1.101336441
287	1.100182796
288	1.097457961
289	1.096278618
290	1.094499905
291	1.090858655
292	1.088263819
293	1.086905227
294	1.084507675
295	1.079470225
296	1.078012213
297	1.074687783
298	1.071380071
299	1.068402256
300	1.06571346
301	1.063463762
302	1.0607652
303	1.058029313
304	1.056051223
305	1.053128388
306	1.051380937
307	1.048079937
308	1.04570358
309	1.043786084
310	1.041238966
311	1.038600303
312	1.036968687
313	1.032863645
314	1.030535422
315	1.026245666
316	1.024752305
317	1.023370701
318	1.01965553
319	1.016332941
320	1.013822197
321	1.009920097
322	1.007721504
323	1.005361047
324	1.002967819
325	1.000922007
326	0.9988967673
327	0.9969256202
328	0.9948659925
329	0.9928651081
330	0.9908522754
331	0.9870883701
332	0.9846211644
333	0.9823867397
334	0.9799929015
335	0.9771935105
336	0.9757177085
337	0.9746452699
338	0.9729316628
339	0.9701239023
340	0.966770863
341	0.9630284928
