iter	MultiClass
342	0.9614115255
343	0.9602661416
344	0.9580427543
345	0.9562843394
346	0.9541654124
347	0.951935396
348	0.9494230915
349	0.9469454719
350	0.9457635976
351	0.942882884
352	0.9412362202
353	0.9394431542
354	0.938163568
355	0.9354844915
356	0.9338142225
357	0.9312181403
358	0.9294420586
359	0.9267719239
360	0.9256581252
361	0.92252726
362	0.9208884388
363	0.9185071087
364	0.9170425164
365	0.9150181528
366	0.9131050435
367	0.9090736234
368	0.9079949697
369	0.9059369501
370	0.9033187218
371	0.9007683363
372	0.8981274486
373	0.8954184486
374	0.8928285535
375	0.8915160148
376	0.8898204324
377	0.8880871131
378	0.8857728447
379	0.8847253129
380	0.8824998596
381	0.8812889752
382	0.8795072999
383	0.8780622982
384	0.8757273387
385	0.8747316723
386	0.8713768121
387	0.8700189218
388	0.8673892656
389	0.8639873221
390	0.8625678819
391	0.8601105563
392	0.8590220249
393	0.8569527513
394	0.8552499062
395	0.8537756585
396	0.8512845631
397	0.8488772454
398	0.8461355948
399	0.842900405
400	0.8407182566
401	0.8380162582
402	0.8360317206
403	0.8344328902
404	0.8327262333
405	0.8318182186
406	0.8290752918
407	0.8274604041
408	0.8255726141
409	0.8229338079
410	0.8205633476
411	0.8191895817
412	0.8174470921
413	0.816464396
414	0.8150405193
415	0.8135983022
416	0.8116177542
417	0.8109668072
418	0.8087008663
419	0.8067291868
420	0.8050173048
421	0.8032872248
422	0.802560122
423	0.800831482
424	0.7992935222
425	0.7983631863
426	0.7974438151
427	0.7961496194
428	0.7939602798
429	0.791899032
430	0.7895962719
431	0.7874468849
432	0.7857895358
433	0.7840315758
434	0.7821283624
435	0.7806665766
436	0.7787417289
437	0.7774639421
438	0.7764687373
439	0.7733548624
440	0.7723887206
441	0.7708706468
442	0.768254629
443	0.7670253988
444	0.7645919125
445	0.7639844774
446	0.7622982974
447	0.7606415923
448	0.7586727307
449	0.7578935779
450	0.7570461278
451	0.7552863183
452	0.7532999945
453	0.751816541
454	0.7489621427
455	0.7468056292
456	0.7455416064
457	0.7439238446
458	0.7422294419
459	0.7399844359
460	0.7376364556
461	0.7362295197
462	0.7343751269
463	0.7317765586
464	0.7303948194
465	0.7296203767
466	0.7282487826
467	0.726637732
468	0.7248444907
469	0.7231949622
470	0.72159065
471	0.7193345222
472	0.7169105645
473	0.7158904021
474	0.7143256443
475	0.7130650593
476	0.7108253952
477	0.7088667205
478	0.7071735149
479	0.706202187
480	0.705050133
481	0.704192396
482	0.701370674
483	0.699447042
484	0.6982481256
485	0.6970242185
486	0.695634059
487	0.6936654464
488	0.6917743619
489	0.6908369675
490	0.688952245
491	0.6880407296
492	0.6871423851
493	0.6859062578
494	0.6850288449
495	0.6836918984
496	0.6821860921
497	0.6813385286
498	0.6803553556
499	0.6782353664
500	0.6775830995
501	0.6766929047
502	0.6748836857
503	0.6728816001
504	0.6713254004
505	0.670466071
506	0.6690816809
507	0.6679278074
508	0.6667323102
509	0.665869609
510	0.6634656948
511	0.6625455906
512	0.6612734065
513	0.6601719305
514	0.658468186
515	0.6569655665
516	0.6547478429
517	0.6532004267
518	0.6512482514
519	0.6501218483
520	0.6499332264
521	0.6482552046
522	0.6476674004
523	0.6470455678
524	0.6451829833
525	0.642692082
526	0.6416784107
527	0.639624677
528	0.638315889
529	0.6365097984
530	0.6352844917
531	0.6344338527
532	0.6337002789
533	0.6329151836
534	0.6315896532
535	0.6304978822
536	0.628942067
537	0.6265602547
538	0.6252720055
539	0.6244188236
540	0.6230061184
541	0.6224224864
542	0.6202849153
543	0.6194293168
544	0.6178917639
545	0.6169140006
546	0.6148302091
547	0.6140873565
548	0.6121547992
549	0.6113855637
550	0.6104805597
551	0.6097795861
552	0.6076092334
553	0.6065234955
554	0.604335308
555	0.6036578465
556	0.6021594152
557	0.6010723528
558	0.5997852598
559	0.5992893073
560	0.5973788146
561	0.5956367832
562	0.5946143013
563	0.5937818291
564	0.5925220534
565	0.5901742278
566	0.5887904079
567	0.5876500413
568	0.5863566134
569	0.5851225452
570	0.5840850358
571	0.5835945911
572	0.5820112139
573	0.5810848937
574	0.5791898111
575	0.5782857534
576	0.5771815146
577	0.5756183222
578	0.5733711685
579	0.5722312928
580	0.5707165005
581	0.5694701453
582	0.568292319
583	0.5668143031
584	0.5652947199
585	0.5645444237
586	0.5635931944
587	0.5624638006
588	0.5614244651
589	0.5601121671
590	0.5593144705
591	0.5577043642
592	0.5563151015
593	0.5546469855
594	0.5535247639
595	0.5525501357
596	0.5513052371
597	0.5503686765
598	0.5492109713
599	0.5482381182
600	0.5471890995
601	0.5459386755
602	0.5449102769
603	0.5442430643
604	0.5429242168
605	0.5421801926
606	0.5412724799
607	0.5399056554
608	0.539057839
609	0.538064685
610	0.5370915609
611	0.5356672532
612	0.533289563
613	0.5318741754
614	0.5309205694
615	0.5298403518
616	0.5286716706
617	0.5275745776
618	0.5266810682
619	0.5257531535
620	0.524210881
621	0.523522595
622	0.5224539527
623	0.5212218328
624	0.5196533611
625	0.5181946529
626	0.517205993
627	0.5161044815
628	0.515118945
629	0.5142857711
630	0.5129091192
631	0.5118068581
632	0.5104913417
633	0.5090205328
634	0.5084907285
635	0.5074787854
636	0.5064050141
637	0.5048266931
638	0.5038701515
639	0.5035054044
640	0.5022992577
641	0.5018340651
642	0.500812197
643	0.499650251
644	0.4979531373
645	0.4972516934
646	0.4958728783
647	0.4951549691
648	0.4945648162
649	0.493897199
650	0.4928961684
651	0.4924496943
652	0.491188753
653	0.4905062429
654	0.4889360196
655	0.4879959252
656	0.4863825975
657	0.4851606671
658	0.4844156368
659	0.4832134748
660	0.4823403639
661	0.4812496401
662	0.4805150588
663	0.479391629
664	0.4782403762
665	0.477488437
666	0.4766263043
667	0.4757002672
668	0.4747176627
669	0.4732147408
670	0.4718613424
671	0.4708218888
672	0.4697105699
673	0.468273901
674	0.4674576374
675	0.4667362751
676	0.4661317562
677	0.4655796363
678	0.4646373028
679	0.4637457905
680	0.4632353724
681	0.4626424505
682	0.4615646391
683	0.4603816726
684	0.4592926041
685	0.4585505006
686	0.457576694
687	0.4564366739
688	0.4559147776
689	0.4545540066
690	0.4534665565
691	0.4525125129
692	0.4515455089
693	0.4500165766
694	0.448078578
695	0.4471232628
696	0.446366631
697	0.4458583263
698	0.4450744183
699	0.4445392834
700	0.443588109
701	0.4426522388
702	0.4417713555
703	0.4411236341
704	0.4403543744
705	0.4389303455
706	0.4384185394
707	0.4372723187
708	0.4357591323
709	0.4347122069
710	0.4338432361
711	0.4332311054
712	0.4328491834
713	0.4319438784
714	0.4311800443
715	0.4303479998
716	0.4298378253
717	0.4288815897
718	0.4280402062
719	0.4266136368
720	0.4258846143
721	0.4251301081
722	0.4243366809
723	0.4234397296
724	0.4225681895
725	0.4216916958
726	0.4204332926
727	0.4198500174
728	0.4186134798
729	0.4175691176
730	0.4166375516
731	0.4160253561
732	0.4154276452
733	0.4143008398
734	0.4134456202
735	0.4125511949
736	0.4118824241
737	0.4117041856
738	0.4108539539
739	0.409944866
740	0.4096554937
741	0.4087170126
742	0.407668604
743	0.4067497114
